22:01:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:37 13/09, info: cam1: 14 fps, 17kb/s, 
22:01:37 13/09, info: cam1: 14 fps, 17kb/s, 
22:01:37 13/09, info: cam1: 14 fps, 17kb/s, 
22:01:37 13/09, info: cam1: 15 fps, 17kb/s, 
22:01:38 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:38 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:38 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:38 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:39 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:39 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:39 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:39 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:40 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:40 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:40 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:40 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:41 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:41 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:41 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:41 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:42 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:42 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:42 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:42 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:43 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:43 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:43 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:43 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:44 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:44 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:44 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:44 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:45 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:45 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:45 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:45 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:46 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:46 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:46 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:46 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:47 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:47 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:47 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:47 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:48 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:48 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:48 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:48 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:49 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:49 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:49 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:49 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:50 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:50 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:50 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:50 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:51 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:51 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:51 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:51 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:52 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:52 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:52 13/09, info: cam1: 15 fps, 11kb/s, 
22:01:52 13/09, info: cam1: 15 fps, 11kb/s, 
22:01:53 13/09, info: cam1: 15 fps, 11kb/s, 
22:01:53 13/09, info: cam1: 15 fps, 11kb/s, 
22:01:53 13/09, info: cam1: 15 fps, 17kb/s, 
22:01:53 13/09, info: cam1: 15 fps, 17kb/s, 
22:01:54 13/09, info: cam1: 15 fps, 17kb/s, 
22:01:54 13/09, info: cam1: 15 fps, 17kb/s, 
22:01:54 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:54 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:55 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:55 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:55 13/09, info: cam1: 15 fps, 23kb/s, 
